genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	23	0	35327617	441619224	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_0	na	na	na	2300.52	28002976	1.24	460596	Str	999966	2300.52	28002976	1.2400421614334887	104.30276120803732
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	23	1	35327617	141676906	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_1	na	na	na	1189.53	14358504	14.7	167808	Neg	1000000	1189.53	14358504	14.7	38.0004119723105
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	23	1	35327617	141676906	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_1	na	na	na	1189.53	14358504	23.599999999999998	167812	Pos	1000000	1189.53	14358504	23.599999999999998	38.00131777923204
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	23	1	35327617	186703282	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_1	na	na	na	1189.53	14358504	11.37	211792	Str	999966	1189.53	14358504	11.370386593144167	47.96066488152881
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	31	na	35480359	414216226	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_31.d_na	na	206.16	23165676	31.87	1589852	5.18	408404	Neg	1000000	238.03	23165676	5.18	92.08565223367667
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	31	na	35480359	414216226	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_31.d_na	na	206.16	23165676	31.87	1589852	5.16	408396	Pos	1000000	238.03	23165676	5.16	92.0838484187829
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	31	na	35480359	414216226	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_31.d_na	na	206.16	23165676	31.87	1589852	3.11	408396	Str	999810	238.03	23165676	3.1105910122923355	92.0838484187829
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	31	na	35480359	293556299	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_na	na	na	na	58.09	777264	4.05	756980	Neg	1000000	58.09	777264	4.05	170.68147478440113
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	31	na	35480359	293556299	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_na	na	na	na	58.09	777264	3.8200000000000003	756976	Pos	1000000	58.09	777264	3.8200000000000007	170.68057287695427
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	31	na	35480359	293556299	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_31.d_na	na	na	na	58.09	777264	3.5999999999999996	756980	Str	999810	58.09	777264	3.6006841299846966	170.68147478440113
